State,D_id,D_ic
Delhi,47.75,11.0288888888889
Gujarat,108.75,19.3005555555556
Karnataka,159,19.3005555555556
Madhya Pradesh,145.833333333333,13.7861111111111
Maharashtra,280.944444444444,41.3583333333333
Others,943.861111111111,85.4738888888889
Rajasthan,148.472222222222,13.7861111111111
Tamil Nadu,198.916666666667,22.0577777777778
Uttar Pradesh,392.75,33.0866666666667
West Bengal,225.333333333333,16.5433333333333
